artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
"3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C",2IYQwwgxgOIn7t3iF6ufFD,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,2024-10-31T12:37:37Z,169917,96,1,False,Malaysia,2024-11-01,182002510
"1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C",10FLjwfpbxLmW8c25Xyc2N,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,2024-10-31T12:37:37Z,251667,100,2,False,Malaysia,2024-11-01,793128354
6qqNVTkY8uBg9cP3Jd7DAH,7aJuG4TFXa2hmE4z1yxc3n,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,2024-10-31T12:37:37Z,210373,97,3,False,Malaysia,2024-11-01,1365824219
3uSnvyMAFJTm7XkZJFo0xP,6U1Imk9cN9VSNQrnHMgGkY,0TRKtVvsVmOkXCvnq5AgNE,spotify:track:0TRKtVvsVmOkXCvnq5AgNE,Reminisensi,2020-07-24,2024-10-31T12:37:37Z,265406,64,4,False,Malaysia,2024-11-01,14495373
250b0Wlc5Vk0CoUsaCY84M,3e5tDT1kfaAGx10yOjIDgW,2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb,Mantra,2024-10-10,2024-10-31T12:37:37Z,136627,89,5,True,Malaysia,2024-11-01,85540665
5L1lO4eRHmJ7a0Q6csE5cT,2F84s5tvr9RSS6VI772mVb,3yDRcs0Y4pPzkvMbUfeF9H,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),2024-10-03,2024-10-31T12:37:37Z,155757,89,6,False,Malaysia,2024-11-01,107590368
6qqNVTkY8uBg9cP3Jd7DAH,7aJuG4TFXa2hmE4z1yxc3n,3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,2024-05-17,2024-10-31T12:37:37Z,261466,92,7,False,Malaysia,2024-11-01,455994727
4AK6F7OLvEQ5QYCBNiQWHq,4gCNyS7pidfK3rKWhB3JOY,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,Night Changes,2014-11-17,2024-10-31T12:37:37Z,226600,90,8,False,Malaysia,2024-11-01,1810565097
74KM79TiuVKeVCqs8QtB0B,3iPSVi54hsacKKl1xIR2eH,2HRqTpkrJO5ggZyyK6NPWz,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Espresso,2024-08-23,2024-10-31T12:37:37Z,175459,88,9,True,Malaysia,2024-11-01,1514527027
70NcAr4ZtA3FAqU16iQZSb,305fd6KSKY40Yjgwvm2ck6,0QzuaeCEEOV40Pn7IvKEny,spotify:track:0QzuaeCEEOV40Pn7IvKEny,double take,2022-01-21,2024-10-31T12:37:37Z,171743,82,10,False,Malaysia,2024-11-01,969765787
